Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,2270.000000,2296.199951,2236.949951,2251.600098,2142.653320,2545060
2019-09-04,2265.000000,2270.000000,2233.000000,2245.399902,2136.752686,2228092
2019-09-05,2242.199951,2253.649902,2207.300049,2215.300049,2108.109619,2055943
2019-09-06,2216.000000,2233.500000,2192.600098,2197.500000,2091.171387,1890550
2019-09-09,2200.000000,2202.850098,2179.800049,2182.850098,2077.229736,1703945
2019-09-11,2186.000000,2195.000000,2146.550049,2154.000000,2049.775391,2627440
2019-09-12,2155.000000,2165.000000,2120.350098,2133.600098,2030.362427,2118859
2019-09-13,2135.000000,2157.949951,2115.550049,2141.949951,2038.308350,2291174
2019-09-16,2159.949951,2173.399902,2126.399902,2150.000000,2045.969238,2597948
2019-09-17,2154.949951,2156.550049,2105.600098,2122.649902,2019.942383,2796530
2019-09-18,2126.399902,2142.949951,2113.149902,2138.550049,2035.073120,1454663
2019-09-19,2135.000000,2135.800049,2091.000000,2101.949951,2000.244019,1652691
2019-09-20,2104.899902,2129.399902,2057.000000,2065.449951,1965.510254,6941979
2019-09-23,2099.000000,2099.000000,1975.000000,2015.800049,1918.262817,6323401
2019-09-24,2015.000000,2061.000000,2013.000000,2044.699951,1945.764404,4620978
2019-09-25,2065.000000,2092.000000,2060.050049,2088.449951,1987.397217,4002232
2019-09-26,2097.899902,2107.000000,2063.000000,2087.600098,1986.588623,4234281
2019-09-27,2085.000000,2085.199951,2051.399902,2056.149902,1956.660156,2046795
2019-09-30,2061.850098,2104.000000,2060.000000,2099.300049,1997.722534,2620039
2019-10-01,2095.949951,2095.949951,2039.699951,2059.949951,1960.276245,3342877
2019-10-03,2070.000000,2081.149902,2046.150024,2060.250000,1960.561890,2317618
2019-10-04,2060.600098,2087.949951,2054.949951,2079.350098,1978.737915,2163251
2019-10-07,2080.000000,2094.500000,2041.000000,2047.699951,1948.619019,2177916
2019-10-09,2060.000000,2060.000000,2015.500000,2020.099976,1922.354614,2066920
2019-10-10,2028.000000,2039.050049,1997.099976,2004.449951,1907.461914,2881452
2019-10-11,1931.000000,1995.000000,1925.000000,1986.849976,1890.713623,12593069
2019-10-14,1995.000000,2032.750000,1968.000000,2021.000000,1923.211304,3510704
2019-10-15,2032.000000,2047.000000,2022.699951,2037.300049,1938.722534,2261310
2019-10-16,2038.000000,2056.000000,2016.000000,2046.400024,1947.382202,3034082
2019-10-17,2014.000000,2038.000000,1999.300049,2030.949951,1971.210083,3818774
2019-10-18,2037.500000,2063.899902,2025.000000,2057.350098,1996.833496,3087901
2019-10-22,2080.000000,2111.500000,2040.050049,2051.399902,1991.058472,5552505
2019-10-23,2060.000000,2083.850098,2052.500000,2070.100098,2009.208374,2348134
2019-10-24,2084.000000,2099.000000,2061.300049,2082.000000,2020.758301,2798671
2019-10-25,2094.000000,2130.000000,2075.050049,2124.949951,2062.445068,3954245
2019-10-27,null,null,null,null,null,null
2019-10-29,2121.500000,2201.699951,2121.500000,2194.850098,2130.288818,5064173
2019-10-30,2225.000000,2260.000000,2176.850098,2252.800049,2186.534424,5195136
2019-10-31,2250.000000,2284.949951,2237.000000,2269.649902,2202.888428,4879261
